companyid	company_name	cusip	MSCIsec	sedol
Q8JV82-S-US	ADTRAN Inc.	00738A10	Information Technology	205292
CM3BKS-S-US	Advent Software Inc.	797410	Information Technology	204915
G5L7T3-S-US	Adams Resources & Energy I	635130	Energy	200752
KQM323-S-US	Associated Estates Realty	4560410	Financials	204439
Q8DPB5-S-US	Ameren Corp.	2360810	Utilities	205083
QMWTKD-S-US	Aegion Corp.	00770F10	Industrials	B764L3
D9SPXS-S-US	Aegerion Pharmaceuticals I	7.67E+12	Health Care	B1YWPY
CYB3R2-S-US	Advanced Energy Industries	797310	Information Technology	204917
MZZX8P-S-US	American Equity Investment	2567620	Financials	219130
LY1H63-S-US	American Eagle Outfitters	2.55E+13	Consumer Discretionary	204859
SW3WLF-S-US	American Electric Power Co	2553710	Utilities	202624
TZ19X5-S-US	AEP Industries Inc.	103110	Materials	200139
Q0KPX4-S-US	The AES Corp.	00130H10	Utilities	200247
L1TX9F-S-US	Aetna Inc.	00817Y10	Health Care	269592
TBXMHY-S-US	Astoria Financial Corp.	4626510	Financials	205268
S5KFQ3-S-US	Almost Family Inc.	2040910	Health Care	279644
QSDQCP-S-US	AFC Enterprises Inc.	00104Q10	Consumer Discretionary	271332
WRQ4FT-S-US	Affymetrix Inc.	00826T10	Health Care	203498
P9WM2D-S-US	American Financial Group I	2593210	Financials	213453
PJNLKG-S-US	Aflac Inc.	105510	Financials	202636
KMDL8Q-S-US	AmTrust Financial Services	3235930	Financials	B1H4YP
TG8ZJW-S-US	AGCO Corp.	108410	Industrials	201027
JDR6V5-S-US	Agenus Inc.	00847G70	Health Care	B58J3K
D0MJZ3-S-US	Argo Group International H	G0464B10	Financials	249954
HVQ6TN-S-US	Federal Agricultural Mortg	31314830	Financials	236338
CC1SML-S-US	Allergan Inc.	1849010	Health Care	201721
WV3Y74-S-US	American Capital Agency Co	02503X10	Financials	B2R8TC
VH3279-S-US	Assured Guaranty Ltd.	G0585R10	Financials	B00V7H
DRBFFP-S-US	Argan Inc.	4.01E+13	Industrials	280450
B28D82-S-US	Agilysys Inc.	00847J10	Information Technology	268916
CK3YH5-S-US	Accretive Health Inc.	00438V10	Health Care	B3QVXD
D1M01P-S-US	Aspen Insurance Holdings L	G0538410	Financials	217237
M4ZVZ7-S-US	AMN Healthcare Services In	174410	Health Care	281355
Q7D9GQ-S-US	Ashford Hospitality Trust	4410310	Financials	231011
TCWNT4-S-US	Arlington Asset Investment	4135620	Financials	251681
S8TF9W-S-US	American International Gro	2687478	Financials	202734
C5FG3Z-S-US	Altra Holdings Inc.	02208R10	Industrials	B1L82T
M3RBH2-S-US	Albany International Corp.	1234810	Industrials	201275
L32SFX-S-US	Apollo Investment Corp.	03761U10	Financials	B00NWP
WHQNFK-S-US	AAR Corp.	36110	Industrials	200111
B05NTB-S-US	Air Methods Corp.	912830	Health Care	204977
WYCCN8-S-US	Applied Industrial Technol	03820C10	Industrials	208630
M65FQK-S-US	Apartment Investment & Man	03748R10	Financials	205705
N5NWXV-S-US	Assurant Inc.	04621X10	Financials	233143
KRRDD7-S-US	Arthur J. Gallagher & Co.	36357610	Financials	235950
HXZ69B-S-US	Akamai Technologies Inc.	00971T10	Information Technology	250745
FT2SZL-S-US	Acadia Realty Trust	423910	Financials	256652
GRS8JF-S-US	Akorn Inc.	972810	Health Care	201210
F5YW44-S-US	AK Steel Holding Corp.	154710	Materials	206773
JHH0PW-S-US	Air Lease Corp.	00912X30	Industrials	B3XS56
C8SHKM-S-US	Albemarle Corp.	1265310	Materials	204685
JMR6PT-S-US	Assisted Living Concepts I	04544X30	Health Care	B1G80B
K7ZRFN-S-US	Alico Inc.	1623010	Consumer Staples	201642
RJ0BM6-S-US	ALLETE Inc.	1852230	Utilities	B02R1L
DPZB89-S-US	Alexander & Baldwin Inc.	1449110	Financials	B827VB
XQBGXN-S-US	Alamo Group Inc.	1131110	Industrials	202163
H68H4X-S-US	Align Technology Inc.	1625510	Health Care	267920
NJ36K8-S-US	Allegiant Travel Co.	01748X10	Industrials	B15M2C
D8MBKN-S-US	ALON USA Energy Inc.	2052010	Energy	B0FGJN
FLFZFF-S-US	Alaska Air Group Inc.	1165910	Industrials	201260
X9RDZL-S-US	Alkermes Plc	G0176710	Health Care	B3P6D2
Q8DVNB-S-US	The Allstate Corp.	2000210	Financials	201995
M1M8H2-S-US	Alnylam Pharmaceuticals In	02043Q10	Health Care	B00FWN
BCC9YN-S-US	Analogic Corp.	3265720	Health Care	203209
M0H9T8-S-US	Alere Inc.	01449J10	Health Care	282308
H3PLY2-S-US	Allison Transmission Holdi	01973R10	Consumer Discretionary	B4PZ89
QLMMTM-S-US	Altera Corp.	2144110	Information Technology	202169
P46K95-S-US	Alexander's Inc.	1475210	Financials	201402
RDKWL9-S-US	Alexion Pharmaceuticals In	1535110	Health Care	203607
DY0BYS-S-US	American Greetings Corp.	2637510	Consumer Discretionary	202686
MZ0NL9-S-US	AMAG Pharmaceuticals Inc.	00163U10	Health Care	200812
QR4XC8-S-US	Applied Materials Inc.	3822210	Information Technology	204655
CKZKD9-S-US	Ambarella Inc.	G037AX10	Information Technology	B7KH3G
W28P57-S-US	Applied Micro Circuits Cor	03822W40	Information Technology	212876
WMPR62-S-US	AMC Networks Inc.	00164V10	Consumer Discretionary	B4MG4Z
T0NKXG-S-US	Advanced Micro Devices Inc	790310	Information Technology	200784
D7DHD4-S-US	AMETEK Inc.	3110010	Industrials	208921
PGF1Y6-S-US	Amedisys Inc.	2343610	Health Care	202433
PP7H5M-S-US	Affiliated Managers Group	825210	Financials	212789
T8GLHL-S-US	Amgen Inc.	3116210	Health Care	202360
W938QT-S-US	Amkor Technology Inc.	3165210	Information Technology	224292
QQ44SG-S-US	American National Bankshar	2774510	Financials	259695
TP1XYX-S-US	Ameriprise Financial Inc.	03076C10	Financials	B0J7D5
DBQ36K-S-US	Ampio Pharmaceuticals Inc.	03209T10	Health Care	B5BNLD
DW1349-S-US	Ameresco Inc.	2.36E+13	Industrials	B3SWPT
NYBK9H-S-US	AmREIT Inc.	03216B20	Financials	B832L9
PL2Y42-S-US	Amyris Inc.	03236M10	Energy	B67TTN
HR98S7-S-US	American Superconductor Co	3011110	Industrials	203272
DVT5YT-S-US	Amerisafe Inc.	03071H10	Financials	B0PPHS
B3G26H-S-US	AmSurg Corp.	03232P40	Health Care	278138
KHYJ27-S-US	American Software Inc.	2968310	Information Technology	202957
W13F06-S-US	American Tower Corp.	03027X10	Telecommunication Serv	B7FBFL
MFZF7N-S-US	TD Ameritrade Holding Corp	87236Y10	Financials	298315
CK9PFK-S-US	Apollo Residential Mortgag	03763V10	Financials	B4MT4L
TVMRL3-S-US	American Woodmark Corp.	3050610	Industrials	203067
RMCVZ9-S-US	Amazon.Com Inc.	2313510	Consumer Discretionary	200001
P0XDG9-S-US	AutoNation Inc.	05329W10	Consumer Discretionary	273263
PWBSBD-S-US	Anacor Pharmaceuticals Inc	3242010	Health Care	B28M78
CPF2D3-S-US	ANADIGICS Inc.	3251510	Information Technology	203353
SD7T6Q-S-US	American National Insuranc	2859110	Financials	202842
QDYZTS-S-US	Access National Corp.	433710	Financials	B01Y8T
FV74CR-S-US	The Andersons Inc.	3416410	Consumer Staples	227492
CZ9VBX-S-US	Anaren Inc.	3274410	Information Technology	203210
QF2V5D-S-US	Abercrombie & Fitch Co.	289620	Consumer Discretionary	200418
VRV8GT-S-US	Angie's List Inc.	3475410	Information Technology	B5B33P
B83T8B-S-US	AngioDynamics Inc.	03475V10	Health Care	B00CR0
N4J5TB-S-US	Anworth Mortgage Asset Cor	3734710	Financials	258190
QJC03B-S-US	Anika Therapeutics Inc.	3525510	Health Care	203575
H0QXYX-S-US	Ann Inc.	3562310	Consumer Discretionary	203853
S5GXXR-S-US	Alpha Natural Resources In	02076X10	Energy	B066NX
C0SZHB-S-US	ANSYS Inc.	03662Q10	Information Technology	204562
S91P4P-S-US	Allied Nevada Gold Corp.	1934410	Materials	B1VPN4
FT723L-S-US	Alliance One International	1877210	Consumer Staples	226986
N2HB1G-S-US	AOL Inc.	00184X10	Information Technology	B3XD9K
H9T6DW-S-US	Aon Plc	G0408V10	Financials	B5BT0K
B7YG19-S-US	A. O. Smith Corp.	83186520	Industrials	281602
SFH6KW-S-US	Alpha & Omega Semiconducto	G6331P10	Information Technology	B5Q3KZ
LMYX4V-S-US	Ampco-Pittsburgh Corp.	3203710	Industrials	203168
VFT77X-S-US	Apache Corp.	3741110	Energy	204396
KB3YPS-S-US	Apco Oil & Gas Internation	G0471F10	Energy	204586
PN3GCR-S-US	Anadarko Petroleum Corp.	3251110	Energy	203238
P7M7WC-S-US	Air Products & Chemicals I	915810	Materials	201160
C36GPC-S-US	American Public Education	02913V10	Consumer Discretionary	B292GM
WL12NL-S-US	Amphenol Corp.	3209510	Information Technology	214508
SYFF0K-S-US	Apogee Enterprises Inc.	3759810	Industrials	204617
L9XNJR-S-US	Apollo Group Inc.	3760410	Consumer Discretionary	204369
C6PV7Y-S-US	Accuray Inc.	439710	Health Care	B1R2HW
FXMQMR-S-US	Arbitron Inc.	03875Q10	Consumer Discretionary	274141
S0Y3BL-S-US	ARC Document Solutions Inc	00191G10	Industrials	B6XSGQ
GKZZL5-S-US	Ares Capital Corp.	04010L10	Financials	B032FN
SC3WLY-S-US	Arden Group Inc.	3976210	Consumer Staples	204742
L9WQRW-S-US	Alexandria Real Estate Equ	1527110	Financials	200921
H6CM7Z-S-US	Approach Resources Inc.	03834A10	Energy	B28RSK
DR9JQV-S-US	Airgas Inc.	936310	Materials	201156
PP9RMW-S-US	Apollo Commercial Real Est	03762U10	Financials	B4JTYX
T6CY5X-S-US	ARIAD Pharmaceuticals Inc.	04033A10	Health Care	206662
V2KCXJ-S-US	American Railcar Industrie	02916P10	Industrials	B0WR83
SZD8ZL-S-US	Arena Pharmaceuticals Inc.	4004710	Health Care	261444
LJPTBZ-S-US	Aéropostale Inc.	786510	Consumer Discretionary	287209
QWQ6VW-S-US	Arrow Financial Corp.	4274410	Financials	205137
H53GG3-S-US	ArQule Inc.	4.27E+13	Health Care	205399
PSLVBP-S-US	ARMOUR Residential REIT In	4231510	Financials	B59YHZ
RZR3SW-S-US	ARRIS Group Inc.	04270V10	Information Technology	B9SMM0
JMN5XZ-S-US	Array BioPharma Inc.	04269X10	Health Care	267865
QXZSB0-S-US	Arabian American Developme	3846510	Materials	204714
MCTHLV-S-US	ArthroCare Corp.	4313610	Health Care	205091
PD849D-S-US	Artesian Resources Corp.	4311320	Utilities	241825
BLDK5G-S-US	Aruba Networks Inc.	4317610	Information Technology	B1VRPM
HKMMSD-S-US	Arrow Electronics Inc.	4273510	Information Technology	205140
N8C6Z5-S-US	Aeroflex Holding Corp.	776710	Information Technology	B3WX3C
F5YZB7-S-US	Associated Banc-Corp.	4548710	Financials	205571
HN0ZL5-S-US	Ameristar Casinos Inc.	03070Q10	Consumer Discretionary	204171
C0T2TK-S-US	Ascent Capital Group Inc.	4363210	Consumer Discretionary	B3D6PB
S5KDN2-S-US	American Science & Enginee	2942910	Industrials	202920
DY09WR-S-US	Asta Funding Inc.	4622010	Financials	205263
JNSTXF-S-US	On Assignment Inc.	68215910	Industrials	265872
HXZ9HF-S-US	Ashland Inc.	4420910	Materials	B0BVFJ
K5K7DS-S-US	American Safety Insurance	G0299510	Financials	240616
P22QRD-S-US	Ascena Retail Group Inc.	04351G10	Consumer Discretionary	B65D9Z
SZKCPC-S-US	Astec Industries Inc.	4622410	Industrials	206037
PFDFMJ-S-US	Astex Pharmaceuticals Inc.	04624B10	Health Care	B6Z8X2
FZRRKQ-S-US	Atlantic Power Corp.		Utilities	B4MND1
F9FX5J-S-US	Alphatec Holdings Inc.	02081G10	Health Care	B16CHX
JKJ3XZ-S-US	Athenahealth Inc.	04685W10	Health Care	B24FJV
TD0RLZ-S-US	Allegheny Technologies Inc	01741R10	Materials	252611
LP4GX5-S-US	Alliant Techsystems Inc.	1880410	Industrials	201767
VLJKB7-S-US	Ames National Corp.	3100110	Financials	B00MZ0
F3PDR0-S-US	ATMI Inc.	00207R10	Information Technology	211627
HRFSCG-S-US	Atmel Corp.	4951310	Information Technology	206231
SZJPCQ-S-US	Atlantic Tele-Network Inc.	4907920	Telecommunication Serv	214134
TBTJM1-S-US	API Technologies Corp.	1.87E+22	Industrials	B0BBWP
QHBDVP-S-US	Atmos Energy Corp.	4956010	Utilities	231535
HBT8P1-S-US	AptarGroup Inc.	3833610	Materials	204524
CRQLT7-S-US	AtriCure Inc.	04963C20	Health Care	B0C8KV
C0SR13-S-US	Atrion Corp.	4990410	Health Care	201273
MWR1Y1-S-US	Astronics Corp.	4643310	Industrials	206051
MH2PLT-S-US	Antares Pharma Inc.	3664210	Health Care	238316
SGHZ0K-S-US	Air Transport Services Gro	00922R10	Industrials	293800
QQ0TFB-S-US	Actuant Corp.	00508X20	Industrials	271679
G9ZQ25-S-US	Activision Blizzard Inc.	00507V10	Information Technology	257581
VZZHDF-S-US	Atwood Oceanics Inc.	5009510	Energy	206244
BDMXGT-S-US	Costa Inc.	22747810	Consumer Discretionary	BF2HSC
NXDM3B-S-US	Golden Minerals Co.	38111910	Materials	B3K931
KFK34D-S-US	Auxilium Pharmaceuticals I	05334D10	Health Care	B01ZP8
GHND41-S-US	Avista Corp.	05379B10	Utilities	294260
SQNS5T-S-US	AeroVironment Inc.	807310	Industrials	B1P5YY
GX5W1M-S-US	AvalonBay Communities Inc.	5348410	Financials	213117
KXDH6G-S-US	American Vanguard Corp.	3037110	Materials	202571
VXSVJ2-S-US	AVEO Pharmaceuticals Inc.	5358810	Health Care	B52G99
GP60L7-S-US	AVG Technologies NV	N0783110	Information Technology	B7GH38
MDX5ZL-S-US	Avago Technologies Ltd.	Y0486S10	Information Technology	B3WS2X
TXYF8C-S-US	AV Homes Inc.	00234P10	Financials	B7M670
D9QDJM-S-US	Avid Technology Inc.	05367P10	Information Technology	206587
QHC7FG-S-US	AVANIR Pharmaceuticals Inc	05348P40	Health Care	B0WR7L
G49L4W-S-US	Aviat Networks Inc.	05366Y10	Information Technology	B1PPR1
FYNJ8L-S-US	Avon Products Inc.	5430310	Consumer Staples	206672
T67LXV-S-US	Avnet Inc.	5380710	Information Technology	206650
S0W8VW-S-US	AVX Corp.	244410	Information Technology	205398
TVTFDF-S-US	Avery Dennison Corp.	5361110	Industrials	206640
CGZS92-S-US	HomeAway Inc.	43739Q10	Consumer Discretionary	B54YZ8
P9XVFK-S-US	Allied World Assurance Co.	H0153110	Financials	B4LMCN
JLGFVH-S-US	Armstrong World Industries	04247X10	Industrials	B1FT46
CSNXVW-S-US	American Water Works Co. I	3042010	Utilities	B2R3PV
MBP56P-S-US	American States Water Co.	2989910	Utilities	226717
X7MH7Q-S-US	Aware Inc. (Massachusetts)	05453N10	Information Technology	206709
FFRVN7-S-US	Abraxas Petroleum Corp.	383010	Energy	200303
QVKN0H-S-US	Anixter International Inc.	3529010	Information Technology	246884
WRTSD7-S-US	American Axle & Manufactur	2406110	Consumer Discretionary	238241
HG6Y66-S-US	Axiall Corp.	05463D10	Materials	B9F5TH
DBQ20D-S-US	American Express Co.	2581610	Financials	202608
GJTCRT-S-US	AXIS Capital Holdings Ltd.	G0692U10	Financials	267760
VT9770-S-US	AXT Inc.	00246W10	Information Technology	224797
G5M4HY-S-US	Acuity Brands Inc.	00508Y10	Industrials	281846
RGXK5H-S-US	Aircastle Ltd.	G0129K10	Industrials	B1BDJQ
V3L7PF-S-US	AutoZone Inc.	5333210	Consumer Discretionary	206595
M3VV5C-S-US	Aspen Technology Inc.	4532710	Information Technology	205186
N2CV92-S-US	AZZ Inc.	247410	Industrials	206767
V8549L-S-US	Barnes Group Inc	6780610	Industrials	208073
P8WJT7-S-US	The Boeing Co.	9702310	Industrials	210860
V0B1PG-S-US	Natus Medical Inc.	63905010	Health Care	277113
Q3TRMZ-S-US	Bank Of America Corp.	6050510	Financials	229567
FMK5NJ-S-US	Einstein Noah Restaurant G	28257U10	Consumer Discretionary	204248
ST5LQZ-S-US	Booz Allen Hamilton Holdin	9950210	Information Technology	B5367T
FYNZ40-S-US	Banc Of California Inc.	33589V10	Financials	BCD47X
D0LSJD-S-US	BancFirst Corp. (Oklahoma)	05945F10	Financials	207878
J75C4Y-S-US	Banner Corp.	06652V20	Financials	234600
D53253-S-US	Basic Energy Services Inc.	06985P10	Energy	B0H5CZ
LY6TC3-S-US	Baxter International Inc.	7181310	Health Care	208510
HLQJF6-S-US	Bed Bath & Beyond Inc.	7589610	Consumer Discretionary	208587
DQ58GR-S-US	BBCN Bancorp Inc.	7329510	Financials	B70YTB
K6WXXX-S-US	Bill Barrett Corp.	06846N10	Energy	B04M3T
H57SQ5-S-US	Beasley Broadcast Group In	7401410	Consumer Discretionary	254496
XBZZJS-S-US	Bridge Capital Holdings	10803010	Financials	276347
G7RH16-S-US	Black Box Corp.	9182610	Information Technology	254697
B09QK4-S-US	BRAVO BRIO Restaurant Grou	10567B10	Consumer Discretionary	B4PXJW
KHSW6W-S-US	Barrett Business Services	6846310	Industrials	208267
XN2JJ0-S-US	BB&T Corp.	5493710	Financials	283090
KHXCX5-S-US	Best Buy Co. Inc.	8651610	Consumer Discretionary	209467
MJD4RS-S-US	Brunswick Corp.	11704310	Consumer Discretionary	214930
QM3X33-S-US	Boise Cascade Co.	09739D10	Materials	B9BP4R
MGWBGV-S-US	Bonanza Creek Energy Inc.	9779310	Energy	B71B3K
DJBT9D-S-US	The Brink's Co.	10969610	Industrials	269130
Q8J4YF-S-US	Blucora Inc.	9522910	Information Technology	B8L2DV
GMXRQD-S-US	Brightcove Inc.	10921T10	Information Technology	B4XS3D
DMRHWL-S-US	Balchem Corp.	5766520	Materials	207207
GPH5YQ-S-US	C.R. Bard Inc. (New Jersey	6738310	Health Care	207790
NSYR4X-S-US	BioCryst Pharmaceuticals I	09058V10	Health Care	210036
BK8RTT-S-US	Boulder Brands Inc.	10140510	Consumer Staples	B9657F
WL01PM-S-US	Belden Inc.	7745410	Information Technology	B01WL7
BGS2NX-S-US	Black Diamond Inc.	09202G10	Consumer Discretionary	225019
QR4B7Q-S-US	Bridge Bancorp Inc.	10803510	Financials	B00MZ1
S0W9XX-S-US	Brandywine Realty Trust	10536820	Financials	251895
M0B0Q9-S-US	BioDelivery Sciences Inter	09060J10	Health Care	282016
QLL3Y6-S-US	Becton Dickinson & Co.	7588710	Health Care	208780
RFPT62-S-US	Beam Inc.	7373010	Consumer Discretionary	B4NH4W
GHPF30-S-US	BE Aerospace Inc.	7330210	Industrials	208942
Q9P7S9-S-US	Bebe Stores Inc.	7557110	Consumer Discretionary	225767
FXKD5K-S-US	Beacon Roofing Supply Inc.	7368510	Industrials	B02TS9
SC8V1L-S-US	Strategic Hotels & Resorts	86272T10	Financials	243865
XN3NP2-S-US	Bel Fuse Inc.	7734730	Information Technology	227989
Q8CFZ0-S-US	Franklin Resources Inc.	35461310	Financials	235068
X7KX77-S-US	Berkshire Bancorp Inc. (Ne	8459720	Financials	B015LD
QH5T7J-S-US	Berry Plastics Group Inc.	08579W10	Materials	B8BR3H
X56PLJ-S-US	Brown-Forman Corp.	11563720	Consumer Staples	214683
QB4TM0-S-US	Bright Horizons Family Sol	10919410	Consumer Discretionary	B7MJWP
B16W7K-S-US	BankFinancial Corp.	06643P10	Financials	B03828
FVDCBN-S-US	Saul Centers Inc.	80439510	Financials	277777
JKCXY1-S-US	Bunge Ltd.	G1696210	Consumer Staples	278871
LGFBYV-S-US	General Cable Corp.	36930010	Industrials	236985
H7JS2S-S-US	BGC Partners Inc.	05541T10	Financials	252816
G355MN-S-US	Big 5 Sporting Goods Corp.	08915P10	Consumer Discretionary	295864
HMWSL7-S-US	Briggs & Stratton Corp.	10904310	Industrials	215658
RT1RKH-S-US	BG Medicine Inc.	08861T10	Health Care	B29VDZ
CB3Q59-S-US	B&G Foods Inc.	05508R10	Consumer Staples	B034L4
HKL974-S-US	Biglari Holdings Inc.	08986R10	Consumer Discretionary	284343
VS6BL6-S-US	Bar Harbor Bankshares	6684910	Financials	261811
S8VPR2-S-US	Benchmark Electronics Inc.	08160H10	Information Technology	209081
C6H18K-S-US	Baker Hughes Inc.	5722410	Energy	207208
QZ2NYT-S-US	Berkshire Hills Bancorp In	8468010	Financials	260657
BPQNV7-S-US	Sotheby's	83589810	Consumer Discretionary	282240
CD4L29-S-US	Big Lots Inc.	8930210	Consumer Discretionary	221844
S38X5X-S-US	Biogen Idec Inc.	09062X10	Health Care	245596
TSCFG3-S-US	Bio-Rad Laboratories Inc.	9057220	Health Care	209850
VQXJNV-S-US	BioScrip Inc.	09069N10	Health Care	259485
D0MFS0-S-US	Actuate Corp.	00508B10	Information Technology	227518
HSDL6F-S-US	BJ's Restaurants Inc.	09180C10	Consumer Discretionary	220055
HSDSLM-S-US	The Bank Of New York Mello	6405810	Financials	B1Z77F
H2YLYC-S-US	BlackRock Kelso Capital Co	9253310	Financials	B1VRDC
R5VL9T-S-US	Brookdale Senior Living In	11246310	Health Care	B0PZN3
P0SXV1-S-US	The Buckle Inc.	11844010	Consumer Discretionary	214993
FRYR3P-S-US	Black Hills Corp.	9211310	Utilities	210174
HQ4B6H-S-US	Buckeye Technologies Inc.	11825510	Materials	215294
DQ1RSG-S-US	Bank Mutual Corp.	6375010	Financials	273492
C5BS0G-S-US	Michael Baker Corp.	5714910	Industrials	232320
KV597J-S-US	Barnes & Noble Inc.	6777410	Consumer Discretionary	208114
HTWM3R-S-US	BankUnited Inc.	06652K10	Financials	B3NNTZ
KV4TB2-S-US	The Bank Of Kentucky Finan	6289610	Financials	260379
N834FG-S-US	Belo Corp.	8055510	Consumer Discretionary	209077
DG4WRN-S-US	Builders FirstSource Inc.	12008R10	Industrials	B0BV2M
PB11JK-S-US	BlackRock Inc.	09247X10	Financials	249450
GGL2LS-S-US	Blackbaud Inc.	09227Q10	Information Technology	245887
PHJ859-S-US	Ball Corp.	5849810	Materials	207302
BNFKCM-S-US	Bloomin' Brands Inc.	9423510	Consumer Discretionary	B847RJ
P3WCWM-S-US	BSB Bancorp Inc. (Massachu	05573H10	Financials	B6X0LC
BX9R5W-S-US	Infoblox Inc.	45672H10	Information Technology	B7TWX5
TF5425-S-US	Blount International Inc.	9518010	Industrials	248491
JNSSVD-S-US	Banco Latinoamericano De C	P1699413	Financials	206948
L0PS9G-S-US	BMC Software Inc.	5592110	Information Technology	206892
FNQ9KF-S-US	Badger Meter Inc.	5652510	Industrials	206912
KW9W2X-S-US	BioMed Realty Trust Inc.	09063H10	Financials	B02GMQ
FL8GY8-S-US	Bank Of Marin Bancorp	6342510	Financials	264737
NGW2VH-S-US	BioMarin Pharmaceutical In	09061G10	Health Care	243707
MDV1SG-S-US	Bemis Co. Inc.	8143710	Materials	209017
DQ6FPV-S-US	Bryn Mawr Bank Corp.	11766510	Financials	261964
H547YV-S-US	Bristol-Myers Squibb Co.	11012210	Health Care	212633
NPNWXB-S-US	Beneficial Mutual Bancorp	08173R10	Financials	B1YWQT
L1KNPT-S-US	Annie's Inc.	03600T10	Consumer Staples	B73CG2
PY4ZD0-S-US	Bob Evans Farms Inc.	9676110	Consumer Discretionary	210775
DFD3DB-S-US	Body Central Corp.	09689U10	Consumer Discretionary	B3R9KG
CX83T3-S-US	BofI Holding Inc.	05566U10	Financials	B0637D
QNX12P-S-US	Bank Of Hawaii Corp.	6254010	Financials	207407
B04MVC-S-US	BOK Financial Corp.	05561Q20	Financials	210909
L4359C-S-US	Bolt Technology Corp.	9769810	Energy	210934
JNTQM8-S-US	The Bon-Ton Stores Inc.	09776J10	Consumer Discretionary	211053
L569DD-S-US	Dynamic Materials Corp.	26788810	Industrials	232604
V05L58-S-US	Boston Private Financial H	10111910	Financials	208113
